run_id,episode,reward,epsilon,alpha,gamma
4a785955-ebcc-4d94-9f6d-f61cae3b5637,0,852,0.99,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,1,724,0.9801,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,2,738,0.9702989999999999,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,3,598,0.96059601,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,4,814,0.9509900498999999,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,5,763,0.9414801494009999,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,6,762,0.9320653479069899,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,7,868,0.92274469442792,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,8,684,0.9135172474836407,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,9,850,0.9043820750088043,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,10,825,0.8953382542587163,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,11,754,0.8863848717161291,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,12,628,0.8775210229989678,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,13,760,0.8687458127689781,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,14,709,0.8600583546412883,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,15,731,0.8514577710948754,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,16,779,0.8429431933839266,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,17,807,0.8345137614500874,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,18,871,0.8261686238355865,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,19,737,0.8179069375972307,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,20,848,0.8097278682212583,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,21,550,0.8016305895390458,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,22,714,0.7936142836436553,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,23,838,0.7856781408072188,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,24,883,0.7778213593991465,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,25,769,0.7700431458051551,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,26,874,0.7623427143471035,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,27,695,0.7547192872036325,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,28,852,0.7471720943315961,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,29,839,0.7397003733882802,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,30,1025,0.7323033696543974,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,31,945,0.7249803359578534,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,32,904,0.7177305325982748,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,33,824,0.7105532272722921,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,34,742,0.7034476949995692,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,35,794,0.6964132180495735,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,36,856,0.6894490858690777,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,37,916,0.682554595010387,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,38,954,0.6757290490602831,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,39,1006,0.6689717585696803,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,40,1110,0.6622820409839835,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,41,980,0.6556592205741436,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,42,1025,0.6491026283684022,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,43,801,0.6426116020847181,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,44,973,0.6361854860638709,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,45,876,0.6298236312032323,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,46,747,0.6235253948912,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,47,704,0.617290140942288,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,48,914,0.6111172395328651,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,49,973,0.6050060671375365,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,50,1049,0.5989560064661611,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,51,836,0.5929664464014994,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,52,1083,0.5870367819374844,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,53,1025,0.5811664141181095,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,54,933,0.5753547499769285,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,55,943,0.5696012024771592,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,56,1114,0.5639051904523876,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,57,989,0.5582661385478638,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,58,972,0.5526834771623851,0.2,0.99
4a785955-ebcc-4d94-9f6d-f61cae3b5637,59,1017,0.5471566423907612,0.2,0.99
