run_id,episode,reward,epsilon,alpha,gamma
c35f1a72-de64-436f-bd0d-db8ede14549f,0,561,0.995,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,1,679,0.990025,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,2,732,0.985074875,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,3,564,0.9801495006250001,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,4,521,0.9752487531218751,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,5,625,0.9703725093562657,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,6,505,0.9655206468094844,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,7,706,0.960693043575437,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,8,661,0.9558895783575597,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,9,490,0.9511101304657719,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,10,696,0.946354579813443,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,11,612,0.9416228069143757,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,12,594,0.9369146928798039,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,13,474,0.9322301194154049,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,14,694,0.9275689688183278,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,15,662,0.9229311239742362,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,16,717,0.918316468354365,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,17,549,0.9137248860125932,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,18,541,0.9091562615825302,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,19,640,0.9046104802746175,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,20,789,0.9000874278732445,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,21,482,0.8955869907338783,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,22,651,0.8911090557802088,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,23,743,0.8866535105013078,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,24,763,0.8822202429488013,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,25,670,0.8778091417340573,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,26,806,0.8734200960253871,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,27,734,0.8690529955452602,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,28,715,0.8647077305675338,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,29,805,0.8603841919146962,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,30,574,0.8560822709551227,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,31,664,0.851801859600347,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,32,318,0.8475428503023453,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,33,516,0.8433051360508336,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,34,554,0.8390886103705794,0.1,0.95
c35f1a72-de64-436f-bd0d-db8ede14549f,35,651,0.8348931673187264,0.1,0.95
