run_id,episode,reward,epsilon,alpha,gamma
e1510a9d-7f19-4599-8631-7a6773e68b8d,0,748,0.99,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,1,767,0.9801,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,2,837,0.9702989999999999,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,3,679,0.96059601,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,4,608,0.9509900498999999,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,5,781,0.9414801494009999,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,6,877,0.9320653479069899,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,7,727,0.92274469442792,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,8,782,0.9135172474836407,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,9,857,0.9043820750088043,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,10,914,0.8953382542587163,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,11,766,0.8863848717161291,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,12,755,0.8775210229989678,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,13,796,0.8687458127689781,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,14,759,0.8600583546412883,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,15,961,0.8514577710948754,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,16,934,0.8429431933839266,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,17,931,0.8345137614500874,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,18,880,0.8261686238355865,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,19,1094,0.8179069375972307,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,20,837,0.8097278682212583,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,21,635,0.8016305895390458,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,22,946,0.7936142836436553,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,23,635,0.7856781408072188,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,24,975,0.7778213593991465,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,25,779,0.7700431458051551,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,26,837,0.7623427143471035,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,27,893,0.7547192872036325,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,28,945,0.7471720943315961,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,29,1014,0.7397003733882802,0.2,0.99
